x,y,z
9.220346832275390625e+01,-3.600926971435546875e+01,6.050007629394531250e+01
1.199666748046875000e+02,0.000000000000000000e+00,7.408110809326171875e+01
-1.346533813476562500e+02,0.000000000000000000e+00,2.536779594421386719e+01
-1.140750198364257812e+02,0.000000000000000000e+00,4.345010757446289062e+01
-1.228850860595703125e+02,0.000000000000000000e+00,7.451712799072265625e+01
-9.625887298583984375e+01,8.868124389648437500e+01,2.569040107727050781e+01
-5.950606918334960938e+01,0.000000000000000000e+00,1.040463027954101562e+02
-2.017308235168457031e+01,7.314701080322265625e+01,1.167284240722656250e+02
-1.055600738525390625e+01,0.000000000000000000e+00,1.506587677001953125e+02
-6.220531463623046875e+00,8.979994201660156250e+01,2.118927192687988281e+01
3.251030683517456055e+00,0.000000000000000000e+00,1.387012481689453125e+02
4.632511615753173828e+00,3.810966110229492188e+01,1.062733612060546875e+02
3.304638290405273438e+01,1.009813156127929688e+02,6.561290740966796875e+01
3.830758285522460938e+01,0.000000000000000000e+00,1.097461700439453125e+02
5.185997390747070312e+01,8.868169403076171875e+01,8.022710418701171875e+01
8.770664978027343750e+01,-5.623193740844726562e+01,8.967363739013671875e+01
6.625656890869140625e+01,-2.627728462219238281e+01,8.807833862304687500e+01
1.041508636474609375e+02,0.000000000000000000e+00,9.319289398193359375e+01
1.222282028198242188e+02,0.000000000000000000e+00,4.816324234008789062e+01
-1.110869598388671875e+02,0.000000000000000000e+00,2.833277225494384766e+00
-1.313878631591796875e+02,0.000000000000000000e+00,5.145181274414062500e+01
-9.754833221435546875e+01,-7.280231475830078125e+01,-4.322671890258789062e+01
-9.119628143310546875e+01,0.000000000000000000e+00,1.105783996582031250e+02
-2.341962814331054688e+01,-8.663018035888671875e+01,3.754831314086914062e+01
-1.426865768432617188e+01,0.000000000000000000e+00,1.486587677001953125e+02
-1.167452239990234375e+01,-6.851511383056640625e+01,1.214336242675781250e+02
1.285676879882812500e+02,-8.105262756347656250e+01,1.931433296203613281e+01
-1.348457031250000000e+02,0.000000000000000000e+00,1.741517829895019531e+01
-1.306337585449218750e+02,0.000000000000000000e+00,5.425437164306640625e+01
-1.107793655395507812e+02,0.000000000000000000e+00,9.029325866699218750e+01
-6.727956390380859375e+01,0.000000000000000000e+00,1.335413513183593750e+02
-2.127345848083496094e+01,-7.469637298583984375e+01,8.241215515136718750e+01
-2.110332489013671875e+01,-1.144724807739257812e+02,2.109934043884277344e+01
1.007183074951171875e+01,0.000000000000000000e+00,1.479777069091796875e+02
3.155650138854980469e+01,-1.060673522949218750e+02,4.424069213867187500e+01
6.179699325561523438e+01,0.000000000000000000e+00,1.239339675903320312e+02
9.109014892578125000e+01,0.000000000000000000e+00,1.112675323486328125e+02
1.308804473876953125e+02,0.000000000000000000e+00,4.744121170043945312e+01
-1.335455780029296875e+02,0.000000000000000000e+00,3.707109451293945312e+01
-1.354230041503906250e+02,0.000000000000000000e+00,2.264163017272949219e+01
-1.378290100097656250e+02,0.000000000000000000e+00,1.282547473907470703e+01
-1.110996475219726562e+02,0.000000000000000000e+00,6.065459060668945312e+01
-1.043983306884765625e+02,7.844022369384765625e+01,2.144837760925292969e+01
-5.192731857299804688e+01,0.000000000000000000e+00,1.214822158813476562e+02
-5.661459350585937500e+01,-1.076102447509765625e+02,-2.800645351409912109e+00
-3.388590240478515625e+01,-9.102971649169921875e+01,9.734150695800781250e+01
-1.180120849609375000e+01,-1.122097015380859375e+02,2.756904792785644531e+01
-6.235298633575439453e+00,1.121182937622070312e+02,1.903043556213378906e+01
3.425299823284149170e-01,0.000000000000000000e+00,1.384579467773437500e+02
4.441952133178710938e+01,9.732442474365234375e+01,7.508123779296875000e+01
5.969776535034179688e+01,-1.008389739990234375e+02,3.851563262939453125e+01
6.276545715332031250e+01,0.000000000000000000e+00,9.395155334472656250e+01
1.239705047607421875e+02,0.000000000000000000e+00,6.512789154052734375e+01
-1.369874420166015625e+02,0.000000000000000000e+00,3.430996322631835938e+01
-1.266035232543945312e+02,5.132798767089843750e+01,2.286148834228515625e+01
-7.933042907714843750e+01,0.000000000000000000e+00,1.249480667114257812e+02
-2.237058067321777344e+01,-8.677562713623046875e+01,2.954003524780273438e+01
-2.605013084411621094e+01,-9.021938323974609375e+01,9.523918914794921875e+01
-1.904040908813476562e+01,0.000000000000000000e+00,1.492423400878906250e+02
2.089436340332031250e+01,-1.119605178833007812e+02,2.631102561950683594e+01
6.253870010375976562e+01,0.000000000000000000e+00,1.285044250488281250e+02
1.088070068359375000e+02,-4.759825515747070312e+01,7.246077728271484375e+01
1.265035018920898438e+02,0.000000000000000000e+00,5.943903732299804688e+01
